"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2022","1,740.74","1,739.08","1,743.50","1,738.44","","0.20%"
"01/11/2022","1,737.28","1,734.58","1,738.67","1,733.88","","0.22%"
"01/10/2022","1,733.40","1,733.75","1,735.33","1,731.86","","0.08%"
"01/07/2022","1,731.97","1,728.71","1,733.27","1,728.47","","0.14%"
"01/06/2022","1,729.60","1,730.96","1,731.52","1,726.63","","-0.23%"
"01/05/2022","1,733.55","1,731.81","1,734.65","1,730.00","","0.07%"
"01/04/2022","1,732.34","1,734.26","1,734.74","1,729.34","","-0.07%"
"01/03/2022","1,733.58","1,734.88","1,736.67","1,733.58","","-0.05%"
"12/31/2021","1,734.37","1,733.52","1,737.98","1,732.37","","0.05%"
"12/30/2021","1,733.51","1,733.88","1,734.93","1,730.75","","0.04%"
"12/29/2021","1,732.75","1,734.22","1,734.75","1,732.75","","-0.06%"
"12/28/2021","1,733.81","1,734.10","1,735.04","1,733.47","","0.02%"
"12/27/2021","1,733.53","1,733.48","1,734.12","1,732.80","","0.03%"
"12/24/2021","1,732.93","1,733.25","1,733.47","1,731.53","","0.15%"
"12/23/2021","1,730.42","1,729.71","1,732.64","1,728.92","","0.24%"
"12/22/2021","1,726.21","1,725.98","1,729.00","1,724.51","","0.06%"
"12/21/2021","1,725.09","1,724.25","1,725.85","1,723.47","","0.15%"
"12/20/2021","1,722.59","1,723.26","1,723.90","1,721.29","","-0.19%"
"12/17/2021","1,725.87","1,724.84","1,725.87","1,722.91","","0.05%"
"12/16/2021","1,725.02","1,724.35","1,725.65","1,723.14","","0.14%"
"12/15/2021","1,722.53","1,723.92","1,724.31","1,719.95","","-0.18%"
"12/14/2021","1,725.57","1,725.98","1,726.36","1,722.95","","-0.08%"
"12/13/2021","1,726.97","1,729.01","1,730.06","1,725.18","","-0.04%"
"12/10/2021","1,727.71","1,728.41","1,729.78","1,727.30","","-0.24%"
"12/09/2021","1,731.90","1,734.67","1,735.24","1,727.59","","-0.04%"
"12/08/2021","1,732.55","1,729.29","1,734.25","1,728.63","","0.30%"
"12/07/2021","1,727.45","1,725.61","1,728.60","1,724.62","","0.11%"
